Name,Category,Description,URL,Marketing language,Company Response
Liberty Mutual,Insurance companies,"Offers ""RightTrack"" app and OBD dongle to track drivers in exchange for discounts.",https://www.libertymutual.com/righttrack,"With RightTrack, we’ll notice the safe choices you’re making on the road and reward you for them. Some specific behaviors observed by RightTrack include braking, acceleration, nighttime driving, and how many miles you drive.",The company did not immediately respond to a request for comment.
State Farm,Insurance companies,"Offers ""Drive Safe & Save"" app to track drivers in exchange for discounts.",https://www.statefarm.com/insurance/auto/discounts/drive-safe-save,"The safer you drive, the more you can save. Try to drive as smoothly as possible and avoid things like hard braking, quick turns, and fast acceleration.",The company did not respond to a request for comment.
AT&T,Telecom operators,"Offers ""HARMAN Spark"" OBD dongle, with WiFi hotspot, roadside assistance, maintenance alerts, and vehicle location tracking.",https://www.att.com/plans/in-car-wifi/harman-spark/,"Instantly unlock your car's potential by adding In-car Wi-Fi plus a host of safety, security, and service features! Then find out what your ride is capable of with HARMAN Spark.",The company did not respond to a request for comment.
T-Mobile,Telecom operators,"Offers ""SyncUP DRIVE"" OBD dongle, with WiFi hotspot, roadside assistance, maintenance alerts, and vehicle location tracking.",https://www.t-mobile.com/iot-devices/syncup-drive-connected-car,Keep track of your vehicle and its performance while staying connected on the move. SyncUP DRIVE offers you peace of mind when it matters.,"""We do not sell customer location data, including vehicle location data. More information on how we protect customer privacy and tools we provide customers to help them manage privacy in ways that best meet their personal needs can be found here (https://www.t-mobile.com/privacy-center)."" —T-Mobile Media Relations email account"
Verizon,Telecom operators,"Offers ""HUM"" OBD dongle, with WiFi hotspot, roadside assistance, maintenance alerts, and vehicle location tracking.",https://www.verizon.com/solutions-and-services/hum/,"Whether parked or on the move, you’re able to view the location of all your Hum-equipped vehicles in near-real time.",The company did not respond to a request for comment.
Geotab,Vehicle telematics,Fleet management and telematics company. Also sells location analytics and insights derived from vehicle data.,https://data.geotab.com/our-ecosystem,"Over 40 billion records a day are processed from millions of connected vehicles, forming the richest telematics dataset in the world consisting of engine data, GPS data, accelerometer data, and more.",The company did not respond to a request for comment.
CARUSO,Vehicle data hubs,Offers a data marketplace for European vehicle data. Its data catalog (https://dev.caruso-dataplace.com/api/consumer/page/data-catalog/) section of its API documentation lists 246 distinct vehicle data points.,https://www.caruso-dataplace.com/,"Our award winning platform is the place to find harmonized multi-brand in-vehicle data of different vehicle manufacturers in one location, ready to use.",The company did not respond to a request for comment.
CCC-X,Vehicle data hubs,"Offers CCC X, a vehicle data exchange. Provides telematics and data for insurance carriers, including accident detection and risk analysis.",https://cccis.com/our-technology/iot-and-exchange/,More than 50 billion historical driving miles have been processed through the CCC X hyperscale telematics data exchange to date.,The company did not respond to a request for comment.
High Mobility,Vehicle data hubs,"Connected car platform that offers API for insurers, fleet managers, and rental companies.",https://www.high-mobility.com/car-api,High Mobility is an open vehicle data marketplace offering personalised data from many manufacturers through a single API and one business interface.,"“High Mobility does not collect, store, manipulate or store vehicle data. Our solution instead is designed to securely link services, cars and people. The secure links enable encrypted data transmission.

We monetize our API through official partnerships with the OEMs based on individual data customer needs and the number of consented vehicles. We ONLY deal with personalized (VIN-specific, identifiable) car data."" —Risto Vahtra, CEO and founder"
INRIX,Vehicle data hubs,"Seventeen-year-old traffic and vehicle data company that sells its data and services to federal, state, and local governments as well as vehicle OEMs. Sells aggregated location data on Datarade.",https://inrix.com/products/location-analytics/,"Get details on how many vehicles stopped and started inside the location boundary, how many vehicles went through, and where the vehicle drivers came from and where they went. See the typical hour-by-hour speeds for road segments at and around a location, even down to minor roads.","“INRIX does not transfer or exchange raw data to data customers. We analyze anonymous and aggregated data and create products out of it, then distribute those products to customers.

Identities of individuals are irrelevant for our business. We don’t store personal identifiers that can be tied back to an individual to help ensure no personal data is discovered.""  —Mark Daymond, CTO & data protection officer at INRIX"
Insurance & Mobility Solutions,Vehicle data hubs,"Vehicle telematics company that offers a telematics mobile app for insurance providers and sells a ""Wedge"" Bluetooth beacon for the car. Also runs a ""Vehicle Data Exchange.""",https://ims.tech/vdx/,"The IMS Vehicle Data Exchange ensures insurance carriers, mobility providers, and government customers receive live access to full vehicle data and insight – FROM ANY DATA SOURCE",The company declined to comment. 
LexisNexis,Vehicle data hubs,"Ingests telematics data from consumer vehicles made by different OEMs, normalizes it, then provides it to insurers.",https://risk.lexisnexis.com/products/telematics-exchange,"When consumers engage with their automaker or other participating telematics service providers, they can take advantage of the option to share their telematics data. Once opting-in, their data can flow into the exchange where it is normalized and made ready for use in insurance telematics solutions.","""LexisNexis Risk Solutions prides itself on the responsible use of data and devotes enormous resources and time to protecting consumers’ privacy and their personal information."" —Jennifer Grigas Richman, director, external communications"
Otonomo,Vehicle data hubs,"Connected car data. Registered as a data broker in Calif. Contracts with 23 OEMs. Recently acquired The Floow, a “connected insurance technology” provider.",https://otonomo.io/data/,"Automotive Data
40M Vehicles . 330B Miles Tracked . 4.1B Data Points/Day

The Otonomo Automotive Data Services Platform offers data from more than 18 million passenger and commercial vehicles located in the United States, Canada, Europe, and Asia. Connected vehicles generate data streams from infotainment units, fuel systems, advanced driver assistance systems (ADAS) and other systems that monitor vehicle operations. The data ranges from status attributes, such as doors state, battery voltage, or remaining fuel, to driving data such as distance traveled and fuel consumption, to environmental data such as road signs or conditions.",The company did not respond to a request for comment.
Synaptiv,Vehicle data hubs,"Ingests connected car data via OEMs and telematics dongles. Its data platform supports more than 300 signals. Positioning itself as a provider of “smart city insights.” Serving ride hailing apps, car rental, and usage-based insurance.",https://www.synaptiv.ai/smart-cities/connected-vehicles,"As cars have become increasingly connected, an exciting opportunity has emerged to harness this rich data from vehicles and transform it into innovative, and monetizable, products and services. This is the opportunity on which Synaptiv is focused.",The company did not respond to a request for comment.
Verisk,Vehicle data hubs,Risk analytics firm that offers connected car data for insurance companies.,https://www.verisk.com/insurance/capabilities/telematics/,"Today's connected cars are constantly gathering information on driving habits and performance. When a consumer buys an eligible vehicle, they’re invited to opt-in to a data sharing program through their automaker and the Verisk Data Exchange begins collecting a rolling record of detailed trip-level information from the connected car. This data is processed by Verisk and transformed into a normalized, insurance ready format.","“In relation to the telematics data that resides in the Verisk Data Exchange, the data is subject to advance safeguards and entails consumer consent at multiple points of the process. For example, the data is only shared with insurers for underwriting purposes with the consumer’s consent. In terms of protecting the security of the data, Verisk has more than 50 years of being a trusted steward of various data sets and employs industry-leading safeguards to ensure the security of the data entrusted to us and the privacy of participating consumers.” —Alberto Canal, spokesperson."
Wejo,Vehicle data hubs,"Claims 13 million active vehicles supplying data to its data hub. Investors include GM, Microsoft, and Palantir. Publicly traded and based in Manchester, England.",https://www.wejo.com/gis-and-location-intelligence,"ACTIVE VEHICLES: 11.8 MILLION
VEHICLE SUPPLY BASE: 50 MILLION+
MILES CURATED: 575 BILLION
DATA POINTS: 15.1 TRILLION
JOURNEYS: 71 BILLION",The company did not respond to a request for comment.
Cambridge Mobile Telematics,Vehicle telematics,Builds apps and telematics hardware for insurance companies to power their usage-based insurance products.,https://www.cmtelematics.com/who-we-are/,"20 Million Drivers on the Road
Benefit from hundreds of billions of miles analyzed across the globe.

Easy to Implement, Easy to Use
Integrate our technology into your program seamlessly.","“CMT is a telematics service provider. The vast majority of the sensor platforms that the company uses today are smartphones and battery-powered IoT devices that stick to the windshield of the vehicle and work in conjunction with the smartphone. CMT’s platform has the ability to process OEM data obtained by other methods but none of our deployed products collect any data from vehicle (OEM) systems.

Our technology is mobile-centric, using the sensors on smartphones and optionally an Internet of Things device called the Tag. The Tag is windshield-mounted or dash-mounted, has no position or GPS sensors, and gathers no location data. CMT does not collect vehicle OEM data.

All data gathered is used on a first-party basis and is not sold or shared with 3rd parties or data exchanges. 

CMT uses location data in limited ways. CMT only uses location data to assess driver risk, identify if a car crash has occurred and where to send emergency services, and to reconstruct a crash afterwards. CMT never sells location data. CMT allows users to delete their data for specific trips or time ranges (including all data).” —Ryan McMahon, vice president of strategy."
Cubic Telecom,Vehicle telematics,Connected car services provider.,https://www.cubictelecom.com/,Every day we collect and correlate millions of vehicle data points. INSIGHTS pulls this all into a data lake where it is transformed and surfaced using a range of Business Intelligence tools.,"“Cubic is a connectivity management company—we enable automotive and agricultural manufacturers to connect their vehicles to the internet in their local target market.

Cubic does not sell [aggregated or anonymized] data.

Aggregated location data is used to create a dashboard for our automotive customers to allow them to identify how many vehicles are in a particular country or region, ensure there are no connectivity issues etc. The available data on the dashboard is aggregated and rules are put in place to ensure that the dashboard doesn’t allow for reporting on regions/countries below a minimum threshold (to maintain the integrity of the aggregation).” —David Kelly, chief corporate officer."
Ericsson,Vehicle telematics,"Telecom giant that offers a ""Connected Vehicle Cloud."" ",https://www.ericsson.com/en/connected-vehicles,"Supporting the software-defined vehicle

Facilitating the digital transformation of the connected vehicle, connecting over 20 million vehicles across 150 countries across our portfolio",The company declined to comment.
Mojio,Vehicle telematics,"Collects telematic, diagnostic, and “behavioral” driving data. Advertises its “telco-grade telematics engine” to OEMs.",https://www.moj.io/connected-car-platform/,"Mojio designs, develops and delivers connected mobility solutions that transform data into scalable services for our partners and their customers.",The company did not respond to a request for comment.
Munic,Vehicle telematics,Makes networked OBD dongles and other telematics black boxes.,https://www.munic.io/,"Munic brings the power of artificial intelligence to vehicles,
combining an Edge Computing and an AI platform,
to extract the most value from the vehicle data",The company did not respond to a request for comment.
NexTraq,Vehicle telematics,"Owned by Michelin. Targeting fleet owners, offers detailed vehicle telematics data including driver behavior, distracted driving, and dashcams to “take driver accountability to the next level.""",https://www.nextraq.com/,"From tracking and reporting to routing and scheduling—NexTraq has everything you need to start getting more from your vehicles, drivers and teams. Plus, our mobile apps allow you to manage your fleet whether you’re at your desk, on the road, or out of town.",The company did not respond to a request for comment.
Samsara,Vehicle telematics,Vehicle telematics for fleet owners. Lists the cities of Boston and Ft. Lauderdale as clients. Positions itself as a leader in “industrial IoT (Internet of Things)”.,https://www.samsara.com/products/telematics/,Samsara’s “to-the-second’ GPS tracking and smart geofencing gives you best-in-class visibility to improve route performance and provide better service for your customers.,The company did not respond to a request for comment.
Scope Technology,Vehicle telematics,"Advertises “device agnostic” vehicle telematics marketed to insurers, OEMs, and fleet operators.",https://www.scopetechnology.com/automotive-telematics-solutions/,"150 Billion KMs of commercial fleet and passenger car driving data
111 Billion Data points from 50+ countries analyzed
362 Thousand Accidents processed
2 Billion Driving exceptions analyzed",The company did not respond to a request for comment.
Spireon,Vehicle telematics,Owns LoJack and GoldStar tracking for rental vehicles.,https://www.spireon.com/,"We are North America’s largest device-independent telematics company providing visibility and insight from connected vehicles to help businesses run smarter, people drive safer, and the world stay connected.",The company did not respond to a request for comment.
Zeliot,Vehicle telematics,Indian IoT and automotive telematics company. Sells vehicle data on Datarade for cars in India and parts of Africa.,https://zeliot.in/,"Connected Mobility & Live Vehicle Tracking Data Probes for India, Kenya, Nigeria & Cameroon - Anonymized - Real Time",The company did not respond to a request for comment.
Progressive,Insurance companies,"Offers ""Snapshot"" app and OBD dongle to track drivers in exchange for discounts.",https://www.progressive.com/auto/discounts/snapshot/,"As much as you can, avoid driving between 12 a.m. and 4 a.m. on weekends when the roads can be more dangerous. This isn't always easy, but the less you drive, the more you can save. If time on the road isn't something you can control, then how safe you drive counts for a lot.","“Data security is paramount to us and we’re committed to protecting the privacy of our customers participating in our voluntary UBI program Snapshot. Our  Snapshot Privacy Statement (https://www.progressive.com/support/legal/snapshot-privacy-statement/) found on our website details the data we collect, how we use it, and measures we take to protect it. Snapshot is a completely voluntary program, and participants can end data collection at any time.” —Ron Davis, spokesperson. "
